slang,formal
"Aduh anjir, elo mager banget!","Astaga, saudara malas gerak sekali!"
"Aduh yaelah, you garing banget! dah","Astaga, kamu membosankan sekali!!"
"Aduh deck, ente galau banget!","Astaga, kamu sedih sekali!!"
"Aduh njir, ente alay banget!!","Astaga, kamu norak sekali!."
Jangan sokin dong loe,"Tolong jangan fokus, Anda!"
"Aduh deck, loe baper banget! dah","Astaga, kamu terlalu sensitif sekali!"
"Aduh njir, loe alay banget! dah","Astaga, kamu norak sekali!."
"Aduh dah, elo cepet banget!...","Astaga, Anda cepat sekali!"
"Aduh deck, you gabut banget!...","Astaga, saudara tidak produktif sekali!."
"Aduh anjir, kamu gemoy banget! dah","Astaga, Anda menggemaskan sekali!!"
"Aduh waduh, elo gabut banget!!","Astaga, kamu tidak produktif sekali!!"
"Aduh siap, you lebay banget! dah","Astaga, saudara berlebihan sekali!."
"Aduh njir, elo tajir banget!!","Astaga, saudara kaya sekali!!"
"Aduh yhaa, you mantul banget! dah","Astaga, kamu mantap sekali!"
"Aduh waduh, ente gemoy banget!","Astaga, kamu menggemaskan sekali!"
"Aduh waduh, lu kepo banget!...","Astaga, saudara penasaran sekali!."
"Aduh deck, you cepet banget!...","Astaga, saudara cepat sekali!"
lu tuh ajib banget sih dah,kamu benar-benar hebat
kamu tuh lebay banget sih dah,saudara benar-benar berlebihan!
"Aduh waduh, kamu garing banget! dah","Astaga, kamu membosankan sekali!"
"Aduh anjir, you ambyar banget! dah","Astaga, Anda hancur sekali!!"
you block banget dah!,kamu blokir sekali
kamu tuh kepo banget sih dah,kamu benar-benar penasaran.
elo flexing banget dah dah,Anda pamer sekali
"Aduh anjir, kamu lebay banget!...","Astaga, kamu berlebihan sekali!."
"Aduh siap, kamu bucin banget! dah","Astaga, Anda budak cinta sekali!"
"Aduh wkwk, lu ajib banget!","Astaga, saudara hebat sekali!"
Jangan ribut dong elo...,"Tolong jangan berdebat, kamu!"
"Aduh siap, ente mager banget! dah","Astaga, kamu malas gerak sekali!"
"Aduh dah, elo jomblo banget!...","Astaga, kamu tidak punya pasangan sekali!."
"Aduh yaelah, loe cepet banget! dah","Astaga, saudara cepat sekali!!"
you tuh gemoy banget sih!,saudara benar-benar menggemaskan
"Aduh siap, loe jomblo banget!...","Astaga, kamu tidak punya pasangan sekali!."
"Aduh siap, ente cepet banget!...","Astaga, kamu cepat sekali!!"
"Aduh waduh, lu gercep banget! dah","Astaga, saudara cepat sekali!."
"Aduh siap, you cepet banget! dah","Astaga, Anda cepat sekali!!"
"Aduh siap, loe jomblo banget!...","Astaga, kamu tidak punya pasangan sekali!!"
"Aduh deck, you ngehe banget!","Astaga, saudara menjengkelkan sekali!."
"Aduh dah, you cepet banget!","Astaga, Anda cepat sekali!"
elo tuh syulit banget sih dah,Anda benar-benar sulit!
"Aduh waduh, lu cepet banget!...","Astaga, saudara cepat sekali!"
"Mabar yuk lu, gw selow nih...","Bermain bersama yuk saudara, saya santai."
"Aduh wkwk, kamu gemoy banget!...","Astaga, Anda menggemaskan sekali!"
"Aduh dah, you kepo banget!...","Astaga, Anda penasaran sekali!!"
"Aduh njir, lu cepet banget!","Astaga, saudara cepat sekali!!"
"Aduh waduh, lu ajib banget!!","Astaga, Anda hebat sekali!"
"Mabar yuk elo, gw ribut nih!","Bermain bersama yuk saudara, saya berdebat!"
"Aduh njir, elo garing banget!...","Astaga, kamu membosankan sekali!!"
Jangan troll dong loe...,"Tolong jangan mengganggu, kamu!"
"Aduh dah, elo tajir banget!...","Astaga, Anda kaya sekali!"
"Aduh yaelah, ente galau banget!...","Astaga, kamu sedih sekali!"
"Aduh waduh, loe ajib banget!!","Astaga, kamu hebat sekali!!"
"Aduh waduh, lu bucin banget!...","Astaga, kamu budak cinta sekali!."
Jangan block dong loe...,"Tolong jangan blokir, Anda"
"Aduh wkwk, you galau banget!!","Astaga, Anda sedih sekali!"
Jangan jadian dong ente!,"Tolong jangan berhubungan, kamu"
"Aduh njir, kamu gemoy banget!","Astaga, Anda menggemaskan sekali!."
"Aduh siap, you galau banget!","Astaga, Anda sedih sekali!"
"Aduh deck, loe ajib banget!","Astaga, saudara hebat sekali!."
"Aduh deck, elo ajib banget!...","Astaga, kamu hebat sekali!!"
loe tuh ngehe banget sih!,kamu benar-benar menjengkelkan.
"Aduh deck, elo mager banget!...","Astaga, kamu malas gerak sekali!"
"Aduh njir, you ambyar banget!...","Astaga, Anda hancur sekali!"
"Aduh wkwk, lu mager banget!","Astaga, saudara malas gerak sekali!"
lu ribut banget dah!,Anda berdebat sekali!
"Aduh waduh, ente gabut banget!...","Astaga, Anda tidak produktif sekali!"
"Aduh dah, ente jomblo banget!!","Astaga, kamu tidak punya pasangan sekali!"
"Aduh yhaa, you tajir banget!","Astaga, kamu kaya sekali!"
"Aduh yhaa, lu gemoy banget! dah","Astaga, saudara menggemaskan sekali!."
"Mabar yuk elo, gw mabar nih!","Bermain bersama yuk kamu, saya main bersama"
"Mabar yuk ente, gw japri nih","Bermain bersama yuk kamu, saya kirim pesan pribadi."
"Aduh dah, you mager banget!...","Astaga, saudara malas gerak sekali!"
"Aduh haha, you mager banget!...","Astaga, kamu malas gerak sekali!!"
"Mabar yuk ente, gw block nih","Bermain bersama yuk saudara, saya blokir"
ente tuh bucin banget sih!,saudara benar-benar budak cinta!
"Aduh deck, kamu bucin banget!!","Astaga, saudara budak cinta sekali!!"
Jangan mabar dong you,"Tolong jangan main bersama, kamu"
"Aduh yaelah, elo syulit banget!...","Astaga, Anda sulit sekali!!"
ente tuh gercep banget sih...,saudara benar-benar cepat
"Aduh haha, you baper banget!!","Astaga, kamu terlalu sensitif sekali!!"
"Aduh anjir, lu alay banget!","Astaga, saudara norak sekali!"
"Aduh deck, loe bucin banget!","Astaga, Anda budak cinta sekali!!"
"Aduh wkwk, you mager banget!!","Astaga, kamu malas gerak sekali!."
"Aduh yaelah, loe mantul banget!","Astaga, Anda mantap sekali!!"
"Aduh yaelah, elo garing banget!!","Astaga, saudara membosankan sekali!!"
"Aduh njir, you mantul banget! dah","Astaga, saudara mantap sekali!."
"Aduh dah, elo tajir banget!!","Astaga, Anda kaya sekali!."
"Aduh anjir, you bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh wkwk, kamu alay banget! dah","Astaga, kamu norak sekali!."
lu tuh mantul banget sih!,kamu benar-benar mantap.
"Aduh siap, ente bucin banget!...","Astaga, Anda budak cinta sekali!"
loe tuh syulit banget sih,kamu benar-benar sulit!
kamu tuh garing banget sih dah,Anda benar-benar membosankan.
"Aduh njir, kamu baper banget!...","Astaga, Anda terlalu sensitif sekali!!"
"Aduh deck, lu gemoy banget!","Astaga, saudara menggemaskan sekali!"
Jangan japri dong lu dah,"Tolong jangan kirim pesan pribadi, kamu"
Jangan sokin dong you...,"Tolong jangan fokus, saudara."
"Aduh yaelah, ente gercep banget!...","Astaga, kamu cepat sekali!!"
"Aduh siap, you lebay banget!!","Astaga, saudara berlebihan sekali!!"
"Aduh yaelah, loe galau banget!...","Astaga, Anda sedih sekali!."
"Aduh wkwk, elo syulit banget!","Astaga, kamu sulit sekali!."
Jangan nyok dong loe...,"Tolong jangan ayo, saudara"
"Aduh waduh, loe ajib banget! dah","Astaga, kamu hebat sekali!!"
"Aduh dah, you galau banget! dah","Astaga, kamu sedih sekali!."
Jangan ghosting dong loe,"Tolong jangan menghilang, kamu"
"Mabar yuk you, gw troll nih dah","Bermain bersama yuk Anda, saya mengganggu."
"Aduh waduh, ente bucin banget!","Astaga, kamu budak cinta sekali!!"
"Aduh yhaa, lu jomblo banget!","Astaga, kamu tidak punya pasangan sekali!."
"Aduh deck, lu jomblo banget!...","Astaga, Anda tidak punya pasangan sekali!"
"Aduh dah, loe garing banget! dah","Astaga, kamu membosankan sekali!"
"Aduh anjir, loe gercep banget! dah","Astaga, saudara cepat sekali!!"
"Aduh deck, elo mantul banget!...","Astaga, Anda mantap sekali!!"
"Aduh haha, you cepet banget!...","Astaga, saudara cepat sekali!!"
"Aduh haha, you alay banget!...","Astaga, kamu norak sekali!."
"Aduh yaelah, ente mager banget! dah","Astaga, saudara malas gerak sekali!."
"Aduh yaelah, kamu kepo banget!...","Astaga, kamu penasaran sekali!"
"Aduh njir, lu ambyar banget!","Astaga, Anda hancur sekali!"
"Aduh wkwk, you ajib banget! dah","Astaga, kamu hebat sekali!."
lu ghosting banget dah!,saudara menghilang sekali
"Aduh yhaa, kamu alay banget!","Astaga, saudara norak sekali!"
"Aduh deck, kamu ajib banget!","Astaga, saudara hebat sekali!"
"Mabar yuk you, gw ribut nih...","Bermain bersama yuk saudara, saya berdebat"
"Aduh anjir, elo mantul banget!","Astaga, saudara mantap sekali!"
"Aduh deck, elo syulit banget! dah","Astaga, Anda sulit sekali!."
"Aduh wkwk, you cepet banget!...","Astaga, kamu cepat sekali!!"
"Aduh yaelah, ente ambyar banget! dah","Astaga, kamu hancur sekali!!"
"Aduh haha, you ambyar banget!...","Astaga, saudara hancur sekali!!"
"Aduh anjir, elo ambyar banget!","Astaga, kamu hancur sekali!"
Jangan jadian dong you,"Tolong jangan berhubungan, kamu."
"Aduh siap, loe alay banget!...","Astaga, Anda norak sekali!."
"Aduh siap, elo kepo banget! dah","Astaga, saudara penasaran sekali!"
"Mabar yuk ente, gw japri nih!","Bermain bersama yuk kamu, saya kirim pesan pribadi!"
"Aduh njir, lu syulit banget!...","Astaga, saudara sulit sekali!!"
"Aduh haha, elo baper banget! dah","Astaga, Anda terlalu sensitif sekali!."
"Aduh siap, kamu gercep banget!...","Astaga, saudara cepat sekali!!"
"Aduh haha, loe gemoy banget! dah","Astaga, kamu menggemaskan sekali!"
"Aduh haha, lu baper banget! dah","Astaga, kamu terlalu sensitif sekali!!"
elo flexing banget dah dah,Anda pamer sekali.
"Aduh deck, elo tajir banget!!","Astaga, saudara kaya sekali!!"
"Aduh njir, ente ajib banget! dah","Astaga, saudara hebat sekali!."
ente mabar banget dah dah,Anda main bersama sekali!
"Aduh siap, lu ambyar banget!...","Astaga, kamu hancur sekali!."
"Aduh dah, ente mager banget!","Astaga, Anda malas gerak sekali!"
lu tuh ajib banget sih,kamu benar-benar hebat
Jangan flexing dong ente...,"Tolong jangan pamer, Anda!"
"Aduh dah, elo garing banget!","Astaga, Anda membosankan sekali!!"
"Aduh yaelah, lu ambyar banget! dah","Astaga, Anda hancur sekali!"
"Aduh waduh, kamu alay banget!...","Astaga, kamu norak sekali!."
Jangan block dong loe...,"Tolong jangan blokir, Anda"
"Aduh haha, ente baper banget!!","Astaga, Anda terlalu sensitif sekali!"
"Aduh dah, kamu santuy banget!...","Astaga, Anda santai sekali!!"
"Aduh yhaa, you gemoy banget!","Astaga, kamu menggemaskan sekali!."
lu tuh gercep banget sih...,Anda benar-benar cepat
lu tuh tajir banget sih...,Anda benar-benar kaya
"Aduh siap, you galau banget! dah","Astaga, Anda sedih sekali!!"
"Aduh yaelah, lu mantul banget! dah","Astaga, Anda mantap sekali!."
kamu tuh ajib banget sih dah,Anda benar-benar hebat!
"Aduh yhaa, kamu kepo banget!...","Astaga, saudara penasaran sekali!."
"Aduh deck, you garing banget! dah","Astaga, saudara membosankan sekali!."
"Aduh wkwk, you tajir banget!","Astaga, Anda kaya sekali!."
"Aduh njir, loe tajir banget!!","Astaga, kamu kaya sekali!."
"Aduh siap, kamu garing banget!...","Astaga, kamu membosankan sekali!"
ente tuh lebay banget sih...,Anda benar-benar berlebihan.
"Aduh dah, lu bucin banget!!","Astaga, kamu budak cinta sekali!."
"Aduh siap, elo garing banget!","Astaga, kamu membosankan sekali!!"
lu tuh mantul banget sih...,kamu benar-benar mantap.
"Aduh deck, kamu tajir banget!...","Astaga, kamu kaya sekali!!"
"Aduh njir, elo galau banget!!","Astaga, kamu sedih sekali!!"
"Aduh yaelah, you baper banget!","Astaga, saudara terlalu sensitif sekali!!"
"Aduh deck, loe bucin banget!","Astaga, Anda budak cinta sekali!!"
"Mabar yuk kamu, gw ghosting nih...","Bermain bersama yuk saudara, saya menghilang"
"Mabar yuk lu, gw flexing nih dah","Bermain bersama yuk kamu, saya pamer."
"Aduh dah, ente jomblo banget!...","Astaga, kamu tidak punya pasangan sekali!"
"Aduh waduh, you gemoy banget!...","Astaga, kamu menggemaskan sekali!!"
"Aduh haha, kamu gercep banget! dah","Astaga, kamu cepat sekali!!"
Jangan nyok dong ente...,"Tolong jangan ayo, kamu"
"Aduh deck, you kepo banget! dah","Astaga, Anda penasaran sekali!."
"Aduh wkwk, ente cepet banget! dah","Astaga, kamu cepat sekali!!"
kamu gaskeun banget dah!,Anda bersungguh-sungguh sekali
"Aduh yhaa, elo gemoy banget!!","Astaga, kamu menggemaskan sekali!!"
"Aduh deck, elo mantul banget!!","Astaga, Anda mantap sekali!!"
"Aduh siap, kamu gabut banget! dah","Astaga, saudara tidak produktif sekali!."
"Aduh deck, elo alay banget! dah","Astaga, saudara norak sekali!!"
"Aduh haha, kamu santuy banget!","Astaga, Anda santai sekali!!"
"Mabar yuk lu, gw nyok nih...","Bermain bersama yuk Anda, saya ayo."
lu nyok banget dah!,Anda ayo sekali
ente tuh cepet banget sih...,saudara benar-benar cepat.
"Aduh wkwk, you jomblo banget!...","Astaga, saudara tidak punya pasangan sekali!"
"Aduh haha, ente gemoy banget!!","Astaga, Anda menggemaskan sekali!."
"Aduh siap, kamu cepet banget!...","Astaga, kamu cepat sekali!!"
elo tuh mager banget sih...,kamu benar-benar malas gerak!
"Aduh haha, ente syulit banget!!","Astaga, kamu sulit sekali!."
"Aduh anjir, loe mantul banget!","Astaga, Anda mantap sekali!"
"Aduh anjir, ente jomblo banget!","Astaga, Anda tidak punya pasangan sekali!"
"Aduh yaelah, loe baper banget! dah","Astaga, saudara terlalu sensitif sekali!."
"Aduh yaelah, loe syulit banget! dah","Astaga, kamu sulit sekali!."
"Aduh waduh, you bucin banget!","Astaga, kamu budak cinta sekali!"
Jangan troll dong you...,"Tolong jangan mengganggu, Anda"
"Aduh siap, elo gercep banget!...","Astaga, Anda cepat sekali!."
"Aduh yaelah, ente kepo banget!!","Astaga, kamu penasaran sekali!!"
"Aduh dah, ente garing banget! dah","Astaga, Anda membosankan sekali!"
"Aduh siap, lu syulit banget!","Astaga, saudara sulit sekali!."
ente tuh bucin banget sih...,saudara benar-benar budak cinta
"Aduh waduh, lu garing banget!...","Astaga, kamu membosankan sekali!!"
kamu flexing banget dah,saudara pamer sekali.
"Aduh njir, ente lebay banget!!","Astaga, Anda berlebihan sekali!"
"Aduh njir, lu bucin banget!","Astaga, kamu budak cinta sekali!!"
"Aduh yhaa, loe gercep banget!...","Astaga, Anda cepat sekali!."
"Aduh deck, loe syulit banget!!","Astaga, kamu sulit sekali!!"
"Aduh yhaa, ente gercep banget!...","Astaga, saudara cepat sekali!."
"Aduh njir, lu mantul banget! dah","Astaga, saudara mantap sekali!!"
"Aduh yaelah, elo mantul banget!!","Astaga, Anda mantap sekali!."
"Aduh anjir, you gemoy banget!!","Astaga, kamu menggemaskan sekali!"
"Aduh haha, loe ajib banget!!","Astaga, Anda hebat sekali!."
"Aduh siap, lu bucin banget! dah","Astaga, Anda budak cinta sekali!."
lu sokin banget dah,kamu fokus sekali.
"Aduh haha, kamu tajir banget!...","Astaga, Anda kaya sekali!!"
"Aduh siap, ente bucin banget!...","Astaga, Anda budak cinta sekali!!"
"Aduh dah, elo ajib banget! dah","Astaga, kamu hebat sekali!!"
loe ribut banget dah...,Anda berdebat sekali
"Aduh wkwk, you garing banget! dah","Astaga, saudara membosankan sekali!!"
"Aduh anjir, lu ngehe banget!...","Astaga, saudara menjengkelkan sekali!"
"Aduh siap, you garing banget!","Astaga, saudara membosankan sekali!!"
you japri banget dah,kamu kirim pesan pribadi sekali!
"Aduh deck, ente galau banget!!","Astaga, kamu sedih sekali!."
"Aduh yhaa, loe gemoy banget! dah","Astaga, Anda menggemaskan sekali!."
"Aduh njir, lu cepet banget!...","Astaga, saudara cepat sekali!!"
"Aduh dah, lu ambyar banget!!","Astaga, Anda hancur sekali!."
"Aduh waduh, lu gemoy banget!","Astaga, kamu menggemaskan sekali!."
"Aduh anjir, loe kepo banget!...","Astaga, saudara penasaran sekali!"
"Aduh haha, lu syulit banget!!","Astaga, Anda sulit sekali!."
"Aduh yhaa, elo gercep banget!!","Astaga, saudara cepat sekali!."
"Aduh yhaa, you mager banget!...","Astaga, saudara malas gerak sekali!!"
Jangan modus dong you,"Tolong jangan berpura-pura, saudara."
"Aduh anjir, ente ajib banget! dah","Astaga, Anda hebat sekali!."
"Aduh wkwk, loe cepet banget! dah","Astaga, Anda cepat sekali!."
"Aduh yhaa, elo mantul banget! dah","Astaga, Anda mantap sekali!"
elo tuh mager banget sih...,kamu benar-benar malas gerak!
"Aduh haha, you mager banget!...","Astaga, kamu malas gerak sekali!."
elo unfriend banget dah...,Anda hapus pertemanan sekali.
"Aduh waduh, ente bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh waduh, loe santuy banget!!","Astaga, saudara santai sekali!!"
"Aduh waduh, you santuy banget!!","Astaga, kamu santai sekali!"
"Mabar yuk ente, gw unfriend nih!","Bermain bersama yuk kamu, saya hapus pertemanan!"
"Aduh siap, ente gabut banget!...","Astaga, Anda tidak produktif sekali!!"
you ghosting banget dah,Anda menghilang sekali
kamu tuh gabut banget sih!,kamu benar-benar tidak produktif!
"Aduh dah, kamu jomblo banget! dah","Astaga, kamu tidak punya pasangan sekali!."
"Aduh deck, loe cepet banget! dah","Astaga, saudara cepat sekali!!"
"Mabar yuk kamu, gw flexing nih...","Bermain bersama yuk saudara, saya pamer"
"Aduh dah, loe kepo banget!...","Astaga, Anda penasaran sekali!."
"Aduh waduh, you tajir banget!","Astaga, kamu kaya sekali!."
"Aduh dah, loe bucin banget!!","Astaga, Anda budak cinta sekali!."
"Aduh dah, kamu garing banget!!","Astaga, saudara membosankan sekali!"
"Aduh deck, elo garing banget!!","Astaga, saudara membosankan sekali!"
"Aduh dah, you ajib banget!!","Astaga, Anda hebat sekali!."
"Aduh yaelah, loe gemoy banget!!","Astaga, saudara menggemaskan sekali!"
"Aduh anjir, loe ajib banget! dah","Astaga, kamu hebat sekali!!"
"Aduh wkwk, loe ajib banget!!","Astaga, Anda hebat sekali!"
"Aduh anjir, lu ngehe banget!!","Astaga, saudara menjengkelkan sekali!!"
"Mabar yuk lu, gw block nih","Bermain bersama yuk saudara, saya blokir!"
"Aduh haha, ente mager banget! dah","Astaga, kamu malas gerak sekali!."
"Aduh anjir, you bucin banget! dah","Astaga, kamu budak cinta sekali!"
lu jadian banget dah!,saudara berhubungan sekali
kamu tuh syulit banget sih...,saudara benar-benar sulit!
"Mabar yuk loe, gw modus nih dah","Bermain bersama yuk kamu, saya berpura-pura"
"Aduh haha, you gercep banget!!","Astaga, Anda cepat sekali!!"
"Aduh haha, lu alay banget!...","Astaga, Anda norak sekali!!"
"Aduh dah, lu alay banget!!","Astaga, kamu norak sekali!."
"Aduh dah, kamu syulit banget! dah","Astaga, kamu sulit sekali!"
"Aduh dah, loe mantul banget!...","Astaga, Anda mantap sekali!."
"Aduh yaelah, elo santuy banget! dah","Astaga, saudara santai sekali!"
"Mabar yuk elo, gw ghosting nih dah","Bermain bersama yuk Anda, saya menghilang"
"Mabar yuk ente, gw block nih dah","Bermain bersama yuk saudara, saya blokir"
"Aduh deck, kamu gabut banget! dah","Astaga, saudara tidak produktif sekali!!"
"Aduh wkwk, kamu syulit banget! dah","Astaga, saudara sulit sekali!!"
"Aduh njir, elo baper banget!...","Astaga, kamu terlalu sensitif sekali!"
"Aduh haha, elo tajir banget!","Astaga, Anda kaya sekali!"
"Aduh siap, you ambyar banget!!","Astaga, kamu hancur sekali!."
"Aduh haha, kamu ngehe banget!","Astaga, saudara menjengkelkan sekali!"
"Aduh siap, lu garing banget! dah","Astaga, saudara membosankan sekali!."
kamu mabar banget dah...,Anda main bersama sekali
"Aduh siap, kamu bucin banget!","Astaga, Anda budak cinta sekali!!"
"Aduh yaelah, loe cepet banget!...","Astaga, saudara cepat sekali!"
"Mabar yuk loe, gw ghosting nih dah","Bermain bersama yuk saudara, saya menghilang."
lu tuh lebay banget sih!,kamu benar-benar berlebihan
"Aduh haha, ente gabut banget! dah","Astaga, Anda tidak produktif sekali!"
"Aduh njir, you cepet banget!","Astaga, Anda cepat sekali!."
"Aduh njir, loe mantul banget!!","Astaga, kamu mantap sekali!."
"Aduh dah, ente ngehe banget!...","Astaga, kamu menjengkelkan sekali!."
Jangan modus dong loe...,"Tolong jangan berpura-pura, Anda!"
"Mabar yuk lu, gw ghosting nih...","Bermain bersama yuk kamu, saya menghilang!"
"Aduh yaelah, lu bucin banget! dah","Astaga, Anda budak cinta sekali!"
Jangan selow dong ente dah,"Tolong jangan santai, saudara"
"Aduh anjir, you ambyar banget! dah","Astaga, Anda hancur sekali!"
"Aduh wkwk, elo syulit banget!!","Astaga, kamu sulit sekali!"
"Aduh dah, you tajir banget!!","Astaga, saudara kaya sekali!"
"Aduh wkwk, you syulit banget!...","Astaga, kamu sulit sekali!"
"Aduh yaelah, loe gabut banget! dah","Astaga, saudara tidak produktif sekali!."
"Aduh anjir, elo jomblo banget! dah","Astaga, kamu tidak punya pasangan sekali!"
"Aduh yaelah, ente garing banget!...","Astaga, Anda membosankan sekali!!"
"Aduh wkwk, loe baper banget! dah","Astaga, Anda terlalu sensitif sekali!."
"Aduh anjir, lu gercep banget!","Astaga, Anda cepat sekali!!"
loe tuh galau banget sih,Anda benar-benar sedih.
"Mabar yuk kamu, gw sokin nih!","Bermain bersama yuk Anda, saya fokus."
"Aduh dah, kamu syulit banget!!","Astaga, kamu sulit sekali!!"
"Aduh yaelah, elo ambyar banget!...","Astaga, kamu hancur sekali!!"
Jangan ghosting dong you!,"Tolong jangan menghilang, kamu!"
"Aduh wkwk, lu santuy banget!!","Astaga, Anda santai sekali!."
loe ghosting banget dah!,Anda menghilang sekali.
"Aduh dah, lu alay banget!","Astaga, kamu norak sekali!."
loe unfriend banget dah...,saudara hapus pertemanan sekali!
"Aduh siap, you ajib banget!","Astaga, Anda hebat sekali!."
Jangan block dong kamu,"Tolong jangan blokir, saudara."
"Aduh wkwk, loe gercep banget!","Astaga, Anda cepat sekali!"
"Aduh haha, ente lebay banget! dah","Astaga, Anda berlebihan sekali!."
"Aduh siap, you cepet banget!...","Astaga, Anda cepat sekali!!"
kamu tuh mager banget sih,Anda benar-benar malas gerak.
"Aduh wkwk, kamu jomblo banget! dah","Astaga, saudara tidak punya pasangan sekali!."
"Aduh yaelah, lu gemoy banget!!","Astaga, saudara menggemaskan sekali!"
"Aduh yaelah, lu ajib banget!...","Astaga, Anda hebat sekali!."
"Aduh siap, lu syulit banget!","Astaga, saudara sulit sekali!!"
elo unfriend banget dah dah,Anda hapus pertemanan sekali
"Aduh siap, loe ngehe banget!...","Astaga, kamu menjengkelkan sekali!"
"Aduh dah, kamu ambyar banget! dah","Astaga, kamu hancur sekali!"
"Aduh wkwk, elo lebay banget!!","Astaga, saudara berlebihan sekali!"
"Aduh waduh, lu gemoy banget! dah","Astaga, kamu menggemaskan sekali!."
"Aduh dah, loe gercep banget!!","Astaga, Anda cepat sekali!"
"Aduh haha, ente kepo banget! dah","Astaga, kamu penasaran sekali!."
"Aduh njir, you galau banget!...","Astaga, kamu sedih sekali!!"
"Aduh waduh, lu jomblo banget!!","Astaga, kamu tidak punya pasangan sekali!."
"Aduh haha, ente ngehe banget!","Astaga, kamu menjengkelkan sekali!."
"Aduh deck, you ajib banget!!","Astaga, Anda hebat sekali!."
you tuh santuy banget sih dah,Anda benar-benar santai.
"Aduh haha, elo syulit banget! dah","Astaga, saudara sulit sekali!"
"Aduh haha, lu syulit banget! dah","Astaga, Anda sulit sekali!."
"Aduh yhaa, elo cepet banget!!","Astaga, saudara cepat sekali!."
"Aduh anjir, elo lebay banget! dah","Astaga, saudara berlebihan sekali!"
"Aduh njir, you ngehe banget!...","Astaga, Anda menjengkelkan sekali!."
"Aduh siap, lu ambyar banget!!","Astaga, kamu hancur sekali!!"
"Aduh njir, kamu cepet banget!!","Astaga, kamu cepat sekali!."
"Aduh dah, loe cepet banget!","Astaga, saudara cepat sekali!."
lu tuh lebay banget sih dah,kamu benar-benar berlebihan
kamu tuh jomblo banget sih...,saudara benar-benar tidak punya pasangan
"Aduh haha, elo alay banget!...","Astaga, saudara norak sekali!"
"Aduh njir, elo lebay banget! dah","Astaga, saudara berlebihan sekali!."
"Aduh yaelah, lu ngehe banget!","Astaga, saudara menjengkelkan sekali!!"
"Aduh deck, ente garing banget!","Astaga, Anda membosankan sekali!!"
"Aduh wkwk, elo ambyar banget! dah","Astaga, kamu hancur sekali!."
"Aduh siap, lu gabut banget! dah","Astaga, Anda tidak produktif sekali!!"
"Mabar yuk ente, gw troll nih...","Bermain bersama yuk kamu, saya mengganggu."
"Aduh siap, elo ngehe banget!","Astaga, kamu menjengkelkan sekali!!"
"Aduh haha, lu santuy banget!","Astaga, saudara santai sekali!!"
"Aduh haha, ente baper banget! dah","Astaga, Anda terlalu sensitif sekali!"
ente tuh mager banget sih dah,Anda benar-benar malas gerak
"Aduh anjir, lu tajir banget! dah","Astaga, Anda kaya sekali!!"
"Aduh dah, you baper banget!...","Astaga, saudara terlalu sensitif sekali!!"
elo tuh bucin banget sih dah,Anda benar-benar budak cinta!
"Aduh siap, loe alay banget!...","Astaga, Anda norak sekali!."
"Aduh waduh, you alay banget!!","Astaga, saudara norak sekali!"
"Aduh anjir, ente ngehe banget!...","Astaga, saudara menjengkelkan sekali!!"
"Aduh waduh, loe gabut banget! dah","Astaga, Anda tidak produktif sekali!!"
"Aduh siap, lu mager banget!","Astaga, kamu malas gerak sekali!."
"Aduh wkwk, lu garing banget!","Astaga, saudara membosankan sekali!"
"Aduh deck, kamu gercep banget! dah","Astaga, kamu cepat sekali!."
kamu sokin banget dah dah,Anda fokus sekali!
"Aduh wkwk, lu mager banget! dah","Astaga, saudara malas gerak sekali!."
kamu tuh alay banget sih...,saudara benar-benar norak!
"Aduh anjir, you bucin banget! dah","Astaga, kamu budak cinta sekali!."
"Aduh waduh, elo gabut banget!!","Astaga, kamu tidak produktif sekali!"
"Mabar yuk kamu, gw ribut nih!","Bermain bersama yuk kamu, saya berdebat"
"Aduh waduh, elo lebay banget!!","Astaga, Anda berlebihan sekali!"
"Aduh dah, lu syulit banget! dah","Astaga, kamu sulit sekali!!"
"Aduh anjir, elo gabut banget!!","Astaga, saudara tidak produktif sekali!."
"Aduh yaelah, you santuy banget!!","Astaga, kamu santai sekali!"
Jangan troll dong loe dah,"Tolong jangan mengganggu, kamu"
"Aduh yaelah, loe garing banget! dah","Astaga, saudara membosankan sekali!"
"Aduh wkwk, lu garing banget!!","Astaga, saudara membosankan sekali!"
"Aduh haha, lu gercep banget! dah","Astaga, saudara cepat sekali!."
"Aduh deck, ente mantul banget!","Astaga, Anda mantap sekali!."
Jangan selow dong you!,"Tolong jangan santai, saudara"
"Aduh anjir, loe lebay banget! dah","Astaga, kamu berlebihan sekali!"
"Aduh yhaa, elo bucin banget!","Astaga, kamu budak cinta sekali!"
"Aduh anjir, elo lebay banget! dah","Astaga, saudara berlebihan sekali!."
"Aduh dah, loe ngehe banget!...","Astaga, kamu menjengkelkan sekali!"
Jangan ghosting dong ente dah,"Tolong jangan menghilang, kamu."
"Aduh siap, you mager banget! dah","Astaga, Anda malas gerak sekali!"
Jangan jadian dong lu,"Tolong jangan berhubungan, Anda!"
"Aduh yhaa, lu gemoy banget! dah","Astaga, saudara menggemaskan sekali!!"
Jangan selow dong ente,"Tolong jangan santai, saudara."
"Aduh siap, ente baper banget! dah","Astaga, saudara terlalu sensitif sekali!."
you tuh gercep banget sih dah,Anda benar-benar cepat!
